Date,Module,Readings,Due Dates
2025-09-03,,,Please complete the <strong>“Getting to Know You” survey on CourseWorks</strong> by noon the day before our first day of class (or as soon as possible if you are joining late)
2025-09-08,,,
2025-09-10,,,
2025-09-15,,,
2025-09-17,,,
2025-09-22,,,
2025-09-24,,,
2025-09-29,,,
2025-10-01,,,
2025-10-06,,,
2025-10-08,,,
2025-10-13,,,
2025-10-15,,,
2025-10-20,,,
2025-10-22,,,
2025-10-27,,,
2025-10-29,,,
2025-11-03,,Fall break (no class),
2025-11-05,,,
2025-11-10,,,
2025-11-12,,,
2025-11-17,,,
2025-11-19,,,
2025-11-24,,,
2025-11-26,,College recess (no class),
2025-12-01,,,
2025-12-03,,,
2025-12-08,,Last day of class,
2025-12-10,,Reading day (no class),
2025-12-15,Final Exam,"<strong>Final exam, 1:10–3:10pm (tentative date & time, location TBD)</strong>",
